phase	order	beat
21.06	crescdecresc	270
51.84	crescdecresc	270
95.58	crescdecresc	270
76.95	crescdecresc	285
58.14	crescdecresc	285
44.46	crescdecresc	285
11.97	crescdecresc	285
35.91	crescdecresc	285
64.98	crescdecresc	285
75.24	crescdecresc	285
58.14	crescdecresc	285
44.46	crescdecresc	285
37.62	crescdecresc	285
48.6	crescdecresc	300
61.2	crescdecresc	300
48.6	crescdecresc	300
41.4	crescdecresc	300
15.39	crescdecresc	285
44.46	crescdecresc	285
39.33	crescdecresc	285
54.72	crescdecresc	285
56.43	crescdecresc	285
54.72	crescdecresc	285
42.75	crescdecresc	285
105.3	crescdecresc	270
147.42	crescdecresc	270
160.38	crescdecresc	270
-127.98	crescdecresc	270
-97.2	crescdecresc	270
-85.86	crescdecresc	270
18.36	crescdecresc	255
29.07	crescdecresc	255
-13.77	crescdecresc	255
26.01	crescdecresc	255
45.9	crescdecresc	255
56.61	crescdecresc	255
67.32	crescdecresc	255
21.42	crescdecresc	255
24.48	crescdecresc	255
32.13	crescdecresc	255
43.2	crescdecresc	240
44.55	crescdecresc	225
21.6	crescdecresc	225
18.9	crescdecresc	225
-33.75	crescdecresc	225
-40.5	crescdecresc	225
-41.58	crescdecresc	210
-31.5	crescdecresc	210
-52.92	crescdecresc	210
-73.08	crescdecresc	210
-66.78	crescdecresc	210
-70.56	crescdecresc	210
-83.16	crescdecresc	210
18.72	crescdecresc	195
54.99	crescdecresc	195
54.99	crescdecresc	195
40.95	crescdecresc	195
18.72	crescdecresc	195
22.23	crescdecresc	195
22.23	crescdecresc	195
22.23	crescdecresc	195
26.91	crescdecresc	195
-14.04	crescdecresc	195
12.96	crescdecresc	180
-12.96	crescdecresc	180
26.73	crescdecresc	165
33.66	crescdecresc	165
19.8	crescdecresc	165
41.58	crescdecresc	165
31.68	crescdecresc	165
33.66	crescdecresc	165
46.53	crescdecresc	165
43.56	crescdecresc	165
38.61	crescdecresc	165
43.56	crescdecresc	165
26.1	crescdecresc	150
19.8	crescdecresc	150
30.6	crescdecresc	150
9	crescdecresc	150
-9	crescdecresc	150
9	crescdecresc	150
-9	crescdecresc	150
-12.6	crescdecresc	150
-28.8	crescdecresc	150
-7.2	crescdecresc	150
118.26	crescdecresc	135
65.61	crescdecresc	135
21.06	crescdecresc	135
-32.4	crescdecresc	135
55.08	crescdecresc	135
25.92	crescdecresc	135
10.53	crescdecresc	135
-32.4	crescdecresc	135
56.7	crescdecresc	135
25.92	crescdecresc	135
10.8	crescdecresc	120
-9.36	crescdecresc	120
-10.8	crescdecresc	120
-41.04	crescdecresc	120
21.6	crescdecresc	120
9.36	crescdecresc	120
-20.16	crescdecresc	120
20.16	crescdecresc	120
48.96	crescdecresc	120
-5.76	crescdecresc	120
64.26	crescdecresc	105
9.45	crescdecresc	105
-21.42	crescdecresc	105
